sku,name,category,subcategory,brand,supplier,base_price,cost,moq,warranty_months
SKU-00082,Danfoss Displays 902,Control y Electrónica,Displays,Danfoss,Andes Motion,468944.0,337171.0,5,12.0
SKU-00083,Casappa Caudalímetros 684,Instrumentación,Caudalímetros,Casappa,Maestranza Integral,206397.0,140144.0,1,12.0
SKU-00084,Webtec Data Loggers 356,Instrumentación,Data Loggers,Webtec,Andes Motion,316657.0,233376.0,1,24.0
SKU-00085,Bezares Pistones Radiales 264,Bombas Hidráulicas,Pistones Radiales,Bezares,Pacific Seal Supply,4214177.0,3228060.0,1,12.0
SKU-00086,Hydac Control Presión 524,Válvulas,Control Presión,Hydac,Maestranza Integral,669061.0,537925.0,2,12.0
SKU-00087,Hydac Pistones Radiales 959,Bombas Hidráulicas,Pistones Radiales,Hydac,Tecfluid Norte,1175635.0,847633.0,1,12.0
SKU-00088,Denison Control Remoto 730,Control y Electrónica,Control Remoto,Denison,Maestranza Integral,94049.0,65082.0,1,36.0
SKU-00089,Parker Engranaje 343,Bombas Hidráulicas,Engranaje,Parker,Tecfluid Norte,1088098.0,931412.0,2,
SKU-00090,Danfoss Cartridge 116,Válvulas,Cartridge,Danfoss,Maestranza Integral,350365.0,240000.0,1,18.0
SKU-00091,Marzocchi Recuperación 291,Winches,Recuperación,Marzocchi,Maestranza Integral,4451994.0,3850975.0,2,6.0
SKU-00092,Poclain Recuperación 144,Winches,Recuperación,Poclain,Pacific Seal Supply,5860600.0,5227655.0,1,18.0
SKU-00093,Bezares Izado 206,Winches,Izado,Bezares,Tecfluid Norte,4610241.0,3950977.0,1,36.0
SKU-00094,Denison Adaptadores 286,Accesorios y Acoples,Adaptadores,Denison,Hydroline Andina,91313.0,65654.0,2,36.0
SKU-00095,FaberCom Reductores Planetarios 627,Mandos Finales,Reductores Planetarios,FaberCom,Hydroline Andina,2912787.0,2606944.0,1,12.0
SKU-00096,Bucher Hydraulics Pistones 227,Acumuladores,Pistones,Bucher Hydraulics,Tecfluid Norte,132001.0,101113.0,1,36.0
SKU-00097,Calzoni Alta Presión 476,Filtros,Alta Presión,Calzoni,Industrial Flow Partners,57251.0,32003.0,2,18.0
SKU-00098,Poclain Agua-Aceite 205,Enfriadores,Agua-Aceite,Poclain,Industrial Flow Partners,935324.0,770707.0,1,24.0
SKU-00099,Webtec Orbitales 844,Motores Hidráulicos,Orbitales,Webtec,Tecfluid Norte,2340396.0,1841892.0,10,12.0
SKU-00100,Scanreco Accesorios Estanque 867,Filtros,Accesorios Estanque,Scanreco,Tecfluid Norte,79621.0,47136.0,2,12.0
SKU-00101,Parker Planetarios 760,Winches,Planetarios,Parker,Maestranza Integral,5167681.0,4232331.0,1,
SKU-00102,Calzoni Retorno 178,Filtros,Retorno,Calzoni,Pacific Seal Supply,11627.0,8360.0,2,12.0
SKU-00103,Hydac Campanas 611,Accesorios y Acoples,Campanas,Hydac,Tecfluid Norte,102518.0,67969.0,1,
SKU-00104,Casappa Agua-Aceite 602,Enfriadores,Agua-Aceite,Casappa,Hydroline Andina,634287.0,536607.0,2,36.0
SKU-00105,Denison Direccionales Múltiples 427,Comandos Direccionales,Direccionales Múltiples,Denison,Hydroline Andina,1195862.0,855041.0,1,36.0
SKU-00106,Poclain Izado 224,Winches,Izado,Poclain,Pacific Seal Supply,3481942.0,2761180.0,2,12.0
SKU-00107,Sun Hydraulics Direccionales Múltiples 167,Comandos Direccionales,Direccionales Múltiples,Sun Hydraulics,Andes Motion,182556.0,140020.0,1,24.0
SKU-00108,Bucher Hydraulics Control Presión 560,Válvulas,Control Presión,Bucher Hydraulics,Pacific Seal Supply,343366.0,257524.0,1,12.0
SKU-00109,Denison Manómetros 156,Instrumentación,Manómetros,Denison,Pacific Seal Supply,394683.0,305090.0,2,24.0
SKU-00110,Denison Pistones 966,Motores Hidráulicos,Pistones,Denison,Tecfluid Norte,990354.0,829917.0,2,24.0
SKU-00111,Argo Hytos Orbitales 706,Motores Hidráulicos,Orbitales,Argo Hytos,Industrial Flow Partners,4790488.0,4043172.0,1,24.0
SKU-00112,Commercial Hydraulics Campanas 129,Accesorios y Acoples,Campanas,Commercial Hydraulics,Industrial Flow Partners,157997.0,97642.0,5,
SKU-00113,Marzocchi Engranaje 658,Motores Hidráulicos,Engranaje,Marzocchi,Tecfluid Norte,3325424.0,2593831.0,1,18.0
SKU-00114,Bucher Hydraulics Control Flujo 550,Válvulas,Control Flujo,Bucher Hydraulics,Maestranza Integral,648633.0,456638.0,1,36.0
SKU-00115,FaberCom Vejiga 453,Acumuladores,Vejiga,FaberCom,Maestranza Integral,563073.0,467914.0,2,36.0
SKU-00116,Bezares Diafragma 199,Acumuladores,Diafragma,Bezares,Pacific Seal Supply,877545.0,709934.0,2,18.0
SKU-00117,Calzoni Pistones Axiales 294,Bombas Hidráulicas,Pistones Axiales,Calzoni,Pacific Seal Supply,1968886.0,1429411.0,2,24.0
SKU-00118,Hydac Reductores Planetarios 346,Mandos Finales,Reductores Planetarios,Hydac,Andes Motion,4391070.0,3789493.0,10,24.0
SKU-00119,Bezares Monoblock 967,Comandos Direccionales,Monoblock,Bezares,Hydroline Andina,240286.0,186462.0,2,12.0
SKU-00120,Denison Orbitales 299,Motores Hidráulicos,Orbitales,Denison,Tecfluid Norte,3692039.0,2883482.0,2,
SKU-00121,Webtec Accesorios Estanque 503,Filtros,Accesorios Estanque,Webtec,Hydroline Andina,51271.0,33839.0,1,6.0
SKU-00122,Casappa Retorno 830,Filtros,Retorno,Casappa,Tecfluid Norte,92556.0,65715.0,1,
SKU-00123,Hydac Alta Presión 731,Filtros,Alta Presión,Hydac,Andes Motion,24681.0,14093.0,2,6.0
SKU-00124,Marzocchi Control Remoto 477,Control y Electrónica,Control Remoto,Marzocchi,Tecfluid Norte,633412.0,474426.0,5,18.0
SKU-00125,Scanreco Spin-On 771,Filtros,Spin-On,Scanreco,Pacific Seal Supply,42460.0,24202.0,1,24.0
SKU-00126,Danfoss Campanas 348,Accesorios y Acoples,Campanas,Danfoss,Pacific Seal Supply,122710.0,84179.0,2,6.0
SKU-00127,Argo Hytos Engranaje 726,Bombas Hidráulicas,Engranaje,Argo Hytos,Hydroline Andina,2068518.0,1681705.0,2,18.0
SKU-00128,Denison Sensores Presión 277,Instrumentación,Sensores Presión,Denison,Pacific Seal Supply,148185.0,111287.0,5,18.0
SKU-00129,Casappa Manómetros 352,Instrumentación,Manómetros,Casappa,Tecfluid Norte,415245.0,278214.0,2,24.0
SKU-00130,Webtec Proporcionales 424,Válvulas,Proporcionales,Webtec,Maestranza Integral,754651.0,492787.0,1,36.0
SKU-00131,Casappa Manómetros 891,Instrumentación,Manómetros,Casappa,Industrial Flow Partners,185871.0,145351.0,2,18.0
SKU-00132,Danfoss Reductores Planetarios 306,Mandos Finales,Reductores Planetarios,Danfoss,Tecfluid Norte,7678259.0,6841329.0,2,36.0
SKU-00133,Casappa Agua-Aceite 643,Enfriadores,Agua-Aceite,Casappa,Industrial Flow Partners,652500.0,565065.0,1,6.0
SKU-00134,Sun Hydraulics Monoblock 663,Comandos Direccionales,Monoblock,Sun Hydraulics,Hydroline Andina,358471.0,286777.0,5,6.0
SKU-00135,Bucher Hydraulics Reductores Planetarios 887,Mandos Finales,Reductores Planetarios,Bucher Hydraulics,Andes Motion,5483879.0,4436458.0,5,36.0
SKU-00136,Marzocchi Pistones 280,Motores Hidráulicos,Pistones,Marzocchi,Maestranza Integral,2768731.0,2176223.0,1,18.0
SKU-00137,Bucher Hydraulics Pistones Radiales 717,Bombas Hidráulicas,Pistones Radiales,Bucher Hydraulics,Maestranza Integral,4224248.0,3066804.0,1,
SKU-00138,Webtec Orbitales 297,Motores Hidráulicos,Orbitales,Webtec,Andes Motion,4947677.0,4002671.0,1,24.0
SKU-00139,Commercial Hydraulics Orbitales 875,Motores Hidráulicos,Orbitales,Commercial Hydraulics,Industrial Flow Partners,2402789.0,2035162.0,2,12.0
SKU-00140,Brevini Direccionales Múltiples 289,Comandos Direccionales,Direccionales Múltiples,Brevini,Industrial Flow Partners,2254962.0,1637102.0,1,18.0
SKU-00141,KTR Reductores Planetarios 840,Mandos Finales,Reductores Planetarios,KTR,Maestranza Integral,849177.0,725197.0,2,12.0
SKU-00142,Olaer Acoples Rotex 802,Accesorios y Acoples,Acoples Rotex,Olaer,Industrial Flow Partners,93090.0,68607.0,2,12.0
SKU-00143,Rexroth Agua-Aceite 565,Enfriadores,Agua-Aceite,Rexroth,Industrial Flow Partners,1844841.0,1553356.0,1,6.0
SKU-00144,Scanreco Control Remoto 710,Control y Electrónica,Control Remoto,Scanreco,Industrial Flow Partners,681620.0,513941.0,1,6.0
SKU-00145,FaberCom Pistones 307,Motores Hidráulicos,Pistones,FaberCom,Pacific Seal Supply,3578077.0,3112927.0,1,24.0
SKU-00146,Commercial Hydraulics Campanas 556,Accesorios y Acoples,Campanas,Commercial Hydraulics,Tecfluid Norte,214349.0,150044.0,2,
SKU-00147,Denison Pistones Radiales 505,Bombas Hidráulicas,Pistones Radiales,Denison,Pacific Seal Supply,1957097.0,1546107.0,5,12.0
SKU-00148,Argo Hytos Cartridge 583,Válvulas,Cartridge,Argo Hytos,Pacific Seal Supply,81598.0,61035.0,1,
SKU-00149,Scanreco Pistones Axiales 491,Bombas Hidráulicas,Pistones Axiales,Scanreco,Maestranza Integral,3495028.0,2645736.0,2,12.0
SKU-00150,Calzoni Data Loggers 650,Instrumentación,Data Loggers,Calzoni,Hydroline Andina,419156.0,293828.0,2,
SKU-00151,Denison Pistones 657,Acumuladores,Pistones,Denison,Industrial Flow Partners,1469789.0,1089114.0,2,18.0
SKU-00152,Calzoni Pistones 529,Acumuladores,Pistones,Calzoni,Maestranza Integral,431467.0,347331.0,1,
SKU-00153,Sun Hydraulics Acoples Rotex 511,Accesorios y Acoples,Acoples Rotex,Sun Hydraulics,Maestranza Integral,21486.0,14460.0,1,6.0
SKU-00154,Casappa Caudalímetros 849,Instrumentación,Caudalímetros,Casappa,Maestranza Integral,460000.0,314640.0,2,6.0
SKU-00155,Marzocchi Adaptadores 523,Accesorios y Acoples,Adaptadores,Marzocchi,Pacific Seal Supply,194272.0,122974.0,1,36.0
SKU-00156,Danfoss Control Flujo 452,Válvulas,Control Flujo,Danfoss,Pacific Seal Supply,760103.0,509269.0,10,24.0
SKU-00157,Calzoni Recuperación 584,Winches,Recuperación,Calzoni,Pacific Seal Supply,2253040.0,1915084.0,2,6.0
SKU-00158,Webtec Direccionales Múltiples 237,Comandos Direccionales,Direccionales Múltiples,Webtec,Industrial Flow Partners,463557.0,362038.0,2,18.0
SKU-00159,Olaer Diafragma 949,Acumuladores,Diafragma,Olaer,Maestranza Integral,548973.0,461137.0,2,
SKU-00160,Olaer Direccionales Múltiples 672,Comandos Direccionales,Direccionales Múltiples,Olaer,Andes Motion,1723339.0,1309738.0,1,24.0
SKU-00161,Argo Hytos Proporcionales 872,Comandos Direccionales,Proporcionales,Argo Hytos,Tecfluid Norte,841588.0,600894.0,1,36.0
SKU-00162,Brevini Caudalímetros 764,Instrumentación,Caudalímetros,Brevini,Industrial Flow Partners,146572.0,97177.0,2,18.0
SKU-00163,Olaer Retorno 427,Filtros,Retorno,Olaer,Tecfluid Norte,65435.0,42598.0,5,18.0
SKU-00164,KTR Proporcionales 698,Comandos Direccionales,Proporcionales,KTR,Andes Motion,228803.0,164738.0,1,12.0
SKU-00165,Webtec Tomas de Fuerza 801,Accesorios y Acoples,Tomas de Fuerza,Webtec,Maestranza Integral,53067.0,39217.0,1,18.0
SKU-00166,Bucher Hydraulics Retorno 659,Filtros,Retorno,Bucher Hydraulics,Industrial Flow Partners,79870.0,52075.0,2,6.0
SKU-00167,Casappa Caudalímetros 106,Instrumentación,Caudalímetros,Casappa,Industrial Flow Partners,575625.0,415026.0,1,36.0
SKU-00168,Sun Hydraulics Diafragma 782,Acumuladores,Diafragma,Sun Hydraulics,Hydroline Andina,1084181.0,920470.0,5,
SKU-00169,Bucher Hydraulics Tomas de Fuerza 117,Accesorios y Acoples,Tomas de Fuerza,Bucher Hydraulics,Hydroline Andina,6620.0,4508.0,2,24.0
SKU-00170,Commercial Hydraulics Agua-Aceite 506,Enfriadores,Agua-Aceite,Commercial Hydraulics,Hydroline Andina,1848390.0,1500893.0,5,12.0
SKU-00171,Calzoni Orbitales 978,Motores Hidráulicos,Orbitales,Calzoni,Andes Motion,2912010.0,2186920.0,5,
SKU-00172,Poclain Planetarios 611,Winches,Planetarios,Poclain,Andes Motion,2585952.0,2156684.0,1,36.0
SKU-00173,KTR Pistones 988,Acumuladores,Pistones,KTR,Pacific Seal Supply,1467807.0,1061224.0,1,6.0
SKU-00174,Olaer Displays 422,Control y Electrónica,Displays,Olaer,Hydroline Andina,1112783.0,805655.0,1,6.0
SKU-00175,Marzocchi Paleta 346,Bombas Hidráulicas,Paleta,Marzocchi,Maestranza Integral,3422307.0,2621487.0,1,12.0
SKU-00176,Casappa Tomas de Fuerza 863,Accesorios y Acoples,Tomas de Fuerza,Casappa,Tecfluid Norte,99042.0,64080.0,5,36.0
SKU-00177,Rexroth Spin-On 379,Filtros,Spin-On,Rexroth,Andes Motion,34000.0,24990.0,2,12.0
SKU-00178,Sun Hydraulics Data Loggers 890,Instrumentación,Data Loggers,Sun Hydraulics,Tecfluid Norte,345232.0,256853.0,5,36.0
SKU-00179,Sun Hydraulics Adaptadores 469,Accesorios y Acoples,Adaptadores,Sun Hydraulics,Industrial Flow Partners,23009.0,16843.0,1,36.0
SKU-00180,Parker Engranaje 670,Motores Hidráulicos,Engranaje,Parker,Tecfluid Norte,2334732.0,1823426.0,1,6.0
SKU-00181,Rexroth Agua-Aceite 523,Enfriadores,Agua-Aceite,Rexroth,Hydroline Andina,315795.0,255162.0,2,18.0
SKU-00182,Casappa Diafragma 604,Acumuladores,Diafragma,Casappa,Maestranza Integral,892184.0,738728.0,1,12.0
SKU-00183,Commercial Hydraulics Reductores Planetarios 838,Mandos Finales,Reductores Planetarios,Commercial Hydraulics,Andes Motion,2786925.0,2407903.0,2,12.0
SKU-00184,Brevini Izado 489,Winches,Izado,Brevini,Pacific Seal Supply,1575515.0,1397482.0,2,12.0
SKU-00185,KTR Alta Presión 811,Filtros,Alta Presión,KTR,Andes Motion,99333.0,57414.0,1,12.0
SKU-00186,KTR Proporcionales 433,Comandos Direccionales,Proporcionales,KTR,Maestranza Integral,2415688.0,1703060.0,2,24.0
SKU-00187,Calzoni Vejiga 663,Acumuladores,Vejiga,Calzoni,Tecfluid Norte,241721.0,187817.0,5,6.0
SKU-00188,Argo Hytos Pistones Radiales 748,Bombas Hidráulicas,Pistones Radiales,Argo Hytos,Andes Motion,3619932.0,2704089.0,2,36.0
SKU-00189,Olaer Direccional 510,Válvulas,Direccional,Olaer,Industrial Flow Partners,144461.0,108057.0,2,24.0
SKU-00190,Casappa Agua-Aceite 773,Enfriadores,Agua-Aceite,Casappa,Hydroline Andina,1612834.0,1343491.0,1,
SKU-00191,Commercial Hydraulics Izado 540,Winches,Izado,Commercial Hydraulics,Industrial Flow Partners,3869728.0,3219614.0,2,12.0
SKU-00192,Rexroth Engranaje 574,Motores Hidráulicos,Engranaje,Rexroth,Tecfluid Norte,1265605.0,990969.0,1,18.0
SKU-00193,Hydac Recuperación 847,Winches,Recuperación,Hydac,Maestranza Integral,2397321.0,2150397.0,2,
SKU-00194,Webtec Reductores Planetarios 813,Mandos Finales,Reductores Planetarios,Webtec,Tecfluid Norte,4078395.0,3568596.0,2,
SKU-00195,Poclain Manómetros 919,Instrumentación,Manómetros,Poclain,Tecfluid Norte,55469.0,38440.0,2,36.0
SKU-00196,Hydac Reductores Planetarios 744,Mandos Finales,Reductores Planetarios,Hydac,Maestranza Integral,4773754.0,4105428.0,10,6.0
SKU-00197,Scanreco Reductores Planetarios 319,Mandos Finales,Reductores Planetarios,Scanreco,Andes Motion,1010184.0,834412.0,2,18.0
SKU-00198,Poclain Proporcionales 368,Comandos Direccionales,Proporcionales,Poclain,Pacific Seal Supply,362170.0,260400.0,2,6.0
SKU-00199,Hydac Izado 568,Winches,Izado,Hydac,Industrial Flow Partners,2223723.0,1896836.0,1,12.0
SKU-00200,Webtec Campanas 482,Accesorios y Acoples,Campanas,Webtec,Pacific Seal Supply,149591.0,98580.0,1,12.0
SKU-00201,Hydac Microcontroladores 810,Control y Electrónica,Microcontroladores,Hydac,Andes Motion,530975.0,425311.0,1,18.0
SKU-00202,Casappa Planetarios 467,Winches,Planetarios,Casappa,Maestranza Integral,3193031.0,2819446.0,2,24.0
SKU-00203,Denison Pistones Radiales 525,Bombas Hidráulicas,Pistones Radiales,Denison,Maestranza Integral,3696189.0,2683433.0,2,18.0
